Source:,/home/joe/git/SNHU/EG-310-InvertedPendulum/Hardware/PendulumController/PendulumController.kicad_sch,,,,,
Date:,Mon 23 Jan 2023 03:47:49 PM EST,,,,,
Tool:,Eeschema (6.0.9),,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,
Component Count:,55,,,,,
,,,,,,
Collated Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Cost,Datasheet
1,1,A101,A4988,Driver_Motor:Pololu_Breakout_A4988,$1.99,https://www.pololu.com/product/2980/pictures
2,1,C101,10uf,Device:C_Polarized,$0.00,~
3,2,"C201, C202",100nf,Device:C_Small,$0.00,~
4,2,"C203, C204",22pf,Device:C_Small,$0.00,~
5,1,C301,10uf,Device:C_Polarized_Small,$0.00,~
6,6,"C302, C303, C401, C402, C403, C404",100nF,Device:C_Small,$0.00,~
7,1,C304,1uF,Device:C_Small,$0.00,~
8,1,D101,1.8TFT,KenwoodFox:1.8TFT,$2.30,
9,1,D201,STAT,Device:LED,$0.00,~
10,1,D301,PWR,Device:LED,$0.00,~
11,1,D401,RX,Device:LED,$0.00,~
12,1,D402,TX,Device:LED,$0.00,~
13,6,"H101, H102, H103, H104, H105, H106",PiMountingHole,Mechanical:MountingHole,$0.00,~
14,1,J101,MOTOR,Connector:Conn_01x04_Male,$0.00,~
15,1,J102,ENCODER,Connector:Conn_01x04_Male,$0.00,~
16,1,J201,ICSP,Connector_Generic:Conn_02x05_Odd_Even,$0.00,~
17,1,J301,19V Input,Connector:Barrel_Jack,$0.00,~
18,1,J401,USB_B_Micro,Connector:USB_B_Micro,$0.00,~
19,1,J402,PROG,Connector:Conn_01x06_Female,$0.00,~
20,1,JP101,SolderJumper_2_Bridged,Jumper:SolderJumper_2_Bridged,$0.00,~
21,1,JP201,RSTBridge,Jumper:SolderJumper_2_Bridged,$0.00,~
22,1,JP401,SolderJumper_2_Open,Jumper:SolderJumper_2_Open,$0.00,~
23,7,"R201, R202, R203, R206, R301, R403, R404",1K,Device:R_Small,$0.00,~
24,3,"R207, R208, R402",10K,Device:R_Small,$0.00,~
25,1,R401,4K7,Device:R_Small,$0.00,~
26,1,RV201,P_Pot,Device:R_Potentiometer,$0.00,~
27,1,RV202,I_Pot,Device:R_Potentiometer,$0.00,~
28,1,RV203,D_Pot,Device:R_Potentiometer,$0.00,~
29,1,SW201,RESET,Switch:SW_Push,$0.00,~
30,1,SW202,START_SW,Switch:SW_Push,$0.00,~
31,1,SW203,STOP/MODE_SW,Switch:SW_Push,$0.00,~
32,1,U201,ATmega328P,MCU_Microchip_ATmega:ATmega328P-A,$4.30,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf
33,1,U301,NCV1117ST50T3G,Regulator_Linear:LM1117-5.0,$0.10,http://www.ti.com/lit/ds/symlink/lm1117.pdf
34,1,U401,FT232RL,Interface_USB:FT232RL,$0.05,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf
35,1,Y201,16mHz,Device:Crystal,$0.00,~
36,?,N/A,10ft Tube Stock Steel,N/A,$100.00,
37,?,N/A,Wood Paneling,N/A,$35.00,
38,?,N/A,3D Printer Fillament,N/A,$10.00,
39,?,N/A,Finishing Products,N/A,$15.00,
40,?,N/A,Welding Gas and Consumables,N/A,$30.00,
,,,,,,
,,,,,,
,,,,,$198.74,
